Agency,AgencyName,Color,Color2
ACS,Administration of Children's Services,blue,"""blue"""
Correction,Department of Correction,gray,"""black"""
DCAS,Department of Citywide Administrative Services,blue,"""black"""
DDC,Department of Design and Construction,orange,"""black"""
DEP,Department of Environmental Protection,green,"""black"""
DHS,Department of Homeless Services,gray,"""black"""
DOB,Department of Buildings,orange,"""black"""
DOH,Department of Health,red,"""black"""
DOT,Department of Transportation,green,"""black"""
DPR,Department of Parks and Recreation,green,"""black"""
DSNY,Department of Sanitation,green,"""black"""
FDNY,Fire Department,red,"""black"""
HRA,Human Resources Agency,gray,"""black"""
NYPD,Police Department,blue,"""blue"""
All,All Agencies,black,"""black"""
