Agency,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4
ACS,451,379,387,616,605,437,52,348,189,254,591,722
Correction,357,413,246,406,629,317,610,461,1012,198,1353,1401
DCAS,147,158,169,232,181,178,189,244,106,73,269,317
DDC,109,117,83,138,193,83,247,242,160,100,166,149
DEP,398,385,340,604,484,280,424,397,317,211,437,476
DHS,146,142,60,203,177,161,261,360,146,103,233,377
DOB,77,79,82,114,106,115,156,182,129,62,167,289
DOH,386,387,466,888,545,413,703,545,339,253,545,933
DOT,424,392,263,443,371,232,382,405,349,359,318,540
DPR,789,1236,1301,3146,644,750,1367,702,461,640,1220,838
DSNY,2251,1901,412,511,2627,446,707,466,2874,303,471,454
FDNY,857,465,731,476,867,281,1271,537,670,275,774,863
HRA,812,656,528,1565,743,748,826,861,471,310,662,878
NYPD,2516,1475,1799,2049,2317,946,2815,2342,1917,543,1818,2173
All,8258,6733,5642,9395,8397,4092,8488,6400,7356,2848,6208,7345
